UUID,URL Status,Identified Protocol,URL,Final URL,Final URL Response Status Code,HTTP Exception
fileidentifier,indicator_linkresolves,protocol,rawurl,finalurl,linkhttpstatuscode,linkhttpexception
{2532E36E-0D7F-4D5D-8F26-7D78801CC261},PASS,wms,https://gis.cestrin.ro/inspire/rest/services/AM_Noise_View/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=WMS&REQUEST=GetCapabilities,https://gis.cestrin.ro/inspire/rest/services/AM_Noise_View/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0,200,
{2DFBA335-5730-43E5-8DE4-FD25A5420DEB},PASS,wms,https://inspire.igr.ro/geoserver/geolro1M/wms?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0,https://inspire.igr.ro/geoserver/geolro1M/wms?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0,200,
{2DFBA335-5730-43E5-8DE4-FD25A5420DEB},PASS,atom,https://geoportal.igr.ro/ATOM_service_download_GE/RO_IGR_GE.xml,https://geoportal.igr.ro/ATOM_service_download_GE/RO_IGR_GE.xml,200,
{3A2744FE-5C8A-4010-A088-63B03AE96704},PASS,wms,https://inspire.igr.ro/geoserver/geolro200k/wms?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0,https://inspire.igr.ro/geoserver/geolro200k/wms?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0,200,
{3E996DE5-8B66-4EDB-B3F8-E00EB97CCDD1},FAIL,atom,http://www.transgaz.ro/Downloads/inspire/transgazdownloadservice.atom.en.xml,http://www.transgaz.ro/Downloads/inspire/transgazdownloadservice.atom.en.xml,404,
{58A5960D-901A-47E4-9CEA-FB6F29D15E64},PASS,atom,http://geoportal.ancpi.ro/inspiredownload/rest/directories/arcgisforinspire/AU/AU_Download_MapServer/Main_ATOM_AU.xml,http://geoportal.ancpi.ro/inspiredownload/rest/directories/arcgisforinspire/AU/AU_Download_MapServer/Main_ATOM_AU.xml,200,
{58A5960D-901A-47E4-9CEA-FB6F29D15E64},FAIL,wms,http://geoportal.ancpi.ro/arcgis/rest/services/AU/AU_View/MapServer/exts/InspireView/service?SERVICE=WMS&REQUEST=GetCapabilities,,,HTTPCachedException - Resending previous exception - SocketTimeoutException - Read timed out
{6846C67A-8D11-410F-B7A7-F23859EA2973},PASS,wms,http://geoportal.ancpi.ro/inspireview/rest/services/BU/BU_View/MapServer/exts/InspireView/service?SERVICE=WMS&REQUEST=GetCapabilities,http://geoportal.ancpi.ro/inspireview/rest/services/BU/BU_View/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=WMS,200,
{703647AD-AD6A-45D1-AFCC-42143FDC9781},PASS,wms,https://geoportal.ancpi.ro/arcgis/rest/services/TN/TN_View/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=wms&REQUEST=getCapabilities,https://geoportal.ancpi.ro/arcgis/rest/services/TN/TN_View/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=wms&VERSION=1.3.0,200,
{96123DC5-A299-402C-83BD-88B7C03FFFDC},FAIL,wms,http://geoportal.ancpi.ro/arcgis/rest/services/HY/HY_View/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=wms&REQUEST=getCapabilities,,,HTTPCachedException - Resending previous exception - SocketTimeoutException - Read timed out
{9D9A9AEE-1AAB-4DEA-A3AF-05B9CAEF1A9B},FAIL,wms,http://geoportal.ancpi.ro/arcgis/rest/services/CP/CP_View/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=wms&REQUEST=getCapabilities,,,HTTPCachedException - Resending previous exception - SocketTimeoutException - Read timed out
{A96D59C4-0420-4104-9D68-DF318F77904C},FAIL,wms,http://194.116.136.107/arcgis/services/icpa/sigstar/MapServer/WMSServer?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0,,,HTTPCachedException - Resending previous exception - SocketException - Connection reset
b7e35875-272e-416e-bf85-8f3789c48198,PASS,OGC:WFS,https://inspire.meteoromania.ro/WIGOS/WFS?service=WFS&version=2.0.0&request=GetFeature&typeNames=ef%3AEnvironmentalMonitoringNetwork&outputFormat=gml32,https://inspire.meteoromania.ro/WIGOS/WFS?outputFormat=gml32&request=GetCapabilities&service=WFS&typeNames=ef:EnvironmentalMonitoringNetwork&version=2.0.0,200,
{C037A93E-0B5A-4FF0-B70C-E9E373B88881},PASS,wms,https://portal-gis.rowater.ro/inspire/rest/services/INSPIRE/GE_View/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=WMS&REQUEST=GetCapabilities,https://portal-gis.rowater.ro/inspire/rest/services/INSPIRE/GE_View/MapServer/exts/InspireView/service?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0,200,
{DFB2E605-0AC9-4364-B4A7-C8624B57FE06},FAIL,wms,http://geodata.rosa.ro/arcgis/services/Lccs03/MapServer/WMSServer?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities,,,HTTPCachedException - Resending previous exception - SocketException - Connection reset
{DFB2E605-0AC9-4364-B4A7-C8624B57FE06},FAIL,wfs,http://geodata.rosa.ro/arcgis/services/Lccs03/MapServer/WFSServer?SERVICE=WFS&VERSION=1.1.0&REQUEST=GetCapabilities,,,HTTPCachedException - Resending previous exception - SocketException - Connection reset
{ECBE4738-D12D-4207-9F9E-3851E5419419},FAIL,wms,http://geoportal.ancpi.ro/arcgis/rest/services/GN/GN_View/MapServer/exts/InspireView/service?VERSION=1.3.0&SERVICE=wms&REQUEST=getCapabilities,,,HTTPCachedException - Resending previous exception - SocketTimeoutException - Read timed out
{FB9F48E6-4C6C-44CD-B4E5-64EB2CD76E01},PASS,wms,https://inspire.igr.ro/geoserver/geolro50k/wms?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0,https://inspire.igr.ro/geoserver/geolro50k/wms?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.3.0,200,
http://gmlid.eu/RO/GeoEcoMar/EUXINUS/MD,FAIL,wms,http://gmlid.eu/RO/GeoEcoMar/EUXINUS/WMS?request=GetCapabilities&version=1.3.0&service=wms,,,HTTPCachedException - Resending previous exception - UnknownHostException - gmlid.eu
